# mass radius n_particles
0 0 3317
0 0 3318
0 0 3319
0 0 3320
0 0 3321
0 0 3322
0 0 3323
0 0 3324
0 0 3325
0 0 3326
0 0 3327
0 0 3328
0 0 3329
0 0 3330
0 0 3331
0 0 3332
0 0 3333
0 0 3334
0 0 3335
0 0 3336
0 0 3337
0 0 3338
0 0 3339
0 0 3340
0 0 3341
0 0 3342
0 0 3343
0 0 3344
0 0 3345
0 0 3346
0 0 3347
0 1 3317
0 1 3318
0 1 3319
0 1 3320
0 1 3321
0 1 3322
0 1 3323
0 1 3324
0 1 3325
0 1 3326
0 1 3327
0 1 3328
0 1 3329
0 1 3330
0 1 3331
0 1 3332
0 1 3333
0 1 3334
0 1 3335
0 1 3336
0 1 3337
0 1 3338
0 1 3339
0 1 3340
0 1 3341
0 1 3342
0 1 3343
0 1 3344
0 1 3345
0 1 3346
0 1 3347
0 2 3317
0 2 3318
0 2 3319
0 2 3320
0 2 3321
0 2 3322
0 2 3323
0 2 3324
0 2 3325
0 2 3326
0 2 3327
0 2 3328
0 2 3329
0 2 3330
0 2 3331
0 2 3332
0 2 3333
0 2 3334
0 2 3335
0 2 3336
0 2 3337
0 2 3338
0 2 3339
0 2 3340
0 2 3341
0 2 3342
0 2 3343
0 2 3344
0 2 3345
0 2 3346
0 2 3347
0 3 3317
0 3 3318
0 3 3319
0 3 3320
0 3 3321
0 3 3322
0 3 3323
0 3 3324
0 3 3325
0 3 3326
0 3 3327
0 3 3328
0 3 3329
0 3 3330
0 3 3331
0 3 3332
0 3 3333
0 3 3334
0 3 3335
0 3 3336
0 3 3337
0 3 3338
0 3 3339
0 3 3340
0 3 3341
0 3 3342
0 3 3343
0 3 3344
0 3 3345
0 3 3346
0 3 3347
0 4 3317
0 4 3318
0 4 3319
0 4 3320
0 4 3321
0 4 3322
0 4 3323
0 4 3324
0 4 3325
0 4 3326
0 4 3327
0 4 3328
0 4 3329
0 4 3330
0 4 3331
0 4 3332
0 4 3333
0 4 3334
0 4 3335
0 4 3336
0 4 3337
0 4 3338
0 4 3339
0 4 3340
0 4 3341
0 4 3342
0 4 3343
0 4 3344
0 4 3345
0 4 3346
0 4 3347
1 0 3317
1 0 3318
1 0 3319
1 0 3320
1 0 3321
1 0 3322
1 0 3323
1 0 3324
1 0 3325
1 0 3326
1 0 3327
1 0 3328
1 0 3329
1 0 3330
1 0 3331
1 0 3332
1 0 3333
1 0 3334
1 0 3335
1 0 3336
1 0 3337
1 0 3338
1 0 3339
1 0 3340
1 0 3341
1 0 3342
1 0 3343
1 0 3344
1 0 3345
1 0 3346
1 0 3347
1 1 3317
1 1 3318
1 1 3319
1 1 3320
1 1 3321
1 1 3322
1 1 3323
1 1 3324
1 1 3325
1 1 3326
1 1 3327
1 1 3328
1 1 3329
1 1 3330
1 1 3331
1 1 3332
1 1 3333
1 1 3334
1 1 3335
1 1 3336
1 1 3337
1 1 3338
1 1 3339
1 1 3340
1 1 3341
1 1 3342
1 1 3343
1 1 3344
1 1 3345
1 1 3346
1 1 3347
1 2 3317
1 2 3318
1 2 3319
1 2 3320
1 2 3321
1 2 3322
1 2 3323
1 2 3324
1 2 3325
1 2 3326
1 2 3327
1 2 3328
1 2 3329
1 2 3330
1 2 3331
1 2 3332
1 2 3333
1 2 3334
1 2 3335
1 2 3336
1 2 3337
1 2 3338
1 2 3339
1 2 3340
1 2 3341
1 2 3342
1 2 3343
1 2 3344
1 2 3345
1 2 3346
1 2 3347
1 3 3317
1 3 3318
1 3 3319
1 3 3320
1 3 3321
1 3 3322
1 3 3323
1 3 3324
1 3 3325
1 3 3326
1 3 3327
1 3 3328
1 3 3329
1 3 3330
1 3 3331
1 3 3332
1 3 3333
1 3 3334
1 3 3335
1 3 3336
1 3 3337
1 3 3338
1 3 3339
1 3 3340
1 3 3341
1 3 3342
1 3 3343
1 3 3344
1 3 3345
1 3 3346
1 3 3347
1 4 3317
1 4 3318
1 4 3319
1 4 3320
1 4 3321
1 4 3322
1 4 3323
1 4 3324
1 4 3325
1 4 3326
1 4 3327
1 4 3328
1 4 3329
1 4 3330
1 4 3331
1 4 3332
1 4 3333
1 4 3334
1 4 3335
1 4 3336
1 4 3337
1 4 3338
1 4 3339
1 4 3340
1 4 3341
1 4 3342
1 4 3343
1 4 3344
1 4 3345
1 4 3346
1 4 3347
2 0 3317
2 0 3318
2 0 3319
2 0 3320
2 0 3321
2 0 3322
2 0 3323
2 0 3324
2 0 3325
2 0 3326
2 0 3327
2 0 3328
2 0 3329
2 0 3330
2 0 3331
2 0 3332
2 0 3333
2 0 3334
2 0 3335
2 0 3336
2 0 3337
2 0 3338
2 0 3339
2 0 3340
2 0 3341
2 0 3342
2 0 3343
2 0 3344
2 0 3345
2 0 3346
2 0 3347
2 1 3317
2 1 3318
2 1 3319
2 1 3320
2 1 3321
2 1 3322
2 1 3323
2 1 3324
2 1 3325
2 1 3326
2 1 3327
2 1 3328
2 1 3329
2 1 3330
2 1 3331
2 1 3332
2 1 3333
2 1 3334
2 1 3335
2 1 3336
2 1 3337
2 1 3338
2 1 3339
2 1 3340
2 1 3341
2 1 3342
2 1 3343
2 1 3344
2 1 3345
2 1 3346
2 1 3347
2 2 3317
2 2 3318
2 2 3319
2 2 3320
2 2 3321
2 2 3322
2 2 3323
2 2 3324
2 2 3325
2 2 3326
2 2 3327
2 2 3328
2 2 3329
2 2 3330
2 2 3331
2 2 3332
2 2 3333
2 2 3334
2 2 3335
2 2 3336
2 2 3337
2 2 3338
2 2 3339
2 2 3340
2 2 3341
2 2 3342
2 2 3343
2 2 3344
2 2 3345
2 2 3346
2 2 3347
2 3 3317
2 3 3318
2 3 3319
2 3 3320
2 3 3321
2 3 3322
2 3 3323
2 3 3324
2 3 3325
2 3 3326
2 3 3327
2 3 3328
2 3 3329
2 3 3330
2 3 3331
2 3 3332
2 3 3333
2 3 3334
2 3 3335
2 3 3336
2 3 3337
2 3 3338
2 3 3339
2 3 3340
2 3 3341
2 3 3342
2 3 3343
2 3 3344
2 3 3345
2 3 3346
2 3 3347
2 4 3317
2 4 3318
2 4 3319
2 4 3320
2 4 3321
2 4 3322
2 4 3323
2 4 3324
2 4 3325
2 4 3326
2 4 3327
2 4 3328
2 4 3329
2 4 3330
2 4 3331
2 4 3332
2 4 3333
2 4 3334
2 4 3335
2 4 3336
2 4 3337
2 4 3338
2 4 3339
2 4 3340
2 4 3341
2 4 3342
2 4 3343
2 4 3344
2 4 3345
2 4 3346
2 4 3347
3 0 3317
3 0 3318
3 0 3319
3 0 3320
3 0 3321
3 0 3322
3 0 3323
3 0 3324
3 0 3325
3 0 3326
3 0 3327
3 0 3328
3 0 3329
3 0 3330
3 0 3331
3 0 3332
3 0 3333
3 0 3334
3 0 3335
3 0 3336
3 0 3337
3 0 3338
3 0 3339
3 0 3340
3 0 3341
3 0 3342
3 0 3343
3 0 3344
3 0 3345
3 0 3346
3 0 3347
3 1 3317
3 1 3318
3 1 3319
3 1 3320
3 1 3321
3 1 3322
3 1 3323
3 1 3324
3 1 3325
3 1 3326
3 1 3327
3 1 3328
3 1 3329
3 1 3330
3 1 3331
3 1 3332
3 1 3333
3 1 3334
3 1 3335
3 1 3336
3 1 3337
3 1 3338
3 1 3339
3 1 3340
3 1 3341
3 1 3342
3 1 3343
3 1 3344
3 1 3345
3 1 3346
3 1 3347
3 2 3317
3 2 3318
3 2 3319
3 2 3320
3 2 3321
3 2 3322
3 2 3323
3 2 3324
3 2 3325
3 2 3326
3 2 3327
3 2 3328
3 2 3329
3 2 3330
3 2 3331
3 2 3332
3 2 3333
3 2 3334
3 2 3335
3 2 3336
3 2 3337
3 2 3338
3 2 3339
3 2 3340
3 2 3341
3 2 3342
3 2 3343
3 2 3344
3 2 3345
3 2 3346
3 2 3347
3 3 3317
3 3 3318
3 3 3319
3 3 3320
3 3 3321
3 3 3322
3 3 3323
3 3 3324
3 3 3325
3 3 3326
3 3 3327
3 3 3328
3 3 3329
3 3 3330
3 3 3331
3 3 3332
3 3 3333
3 3 3334
3 3 3335
3 3 3336
3 3 3337
3 3 3338
3 3 3339
3 3 3340
3 3 3341
3 3 3342
3 3 3343
3 3 3344
3 3 3345
3 3 3346
3 3 3347
3 4 3317
3 4 3318
3 4 3319
3 4 3320
3 4 3321
3 4 3322
3 4 3323
3 4 3324
3 4 3325
3 4 3326
3 4 3327
3 4 3328
3 4 3329
3 4 3330
3 4 3331
3 4 3332
3 4 3333
3 4 3334
3 4 3335
3 4 3336
3 4 3337
3 4 3338
3 4 3339
3 4 3340
3 4 3341
3 4 3342
3 4 3343
3 4 3344
3 4 3345
3 4 3346
3 4 3347
4 0 3317
4 0 3318
4 0 3319
4 0 3320
4 0 3321
4 0 3322
4 0 3323
4 0 3324
4 0 3325
4 0 3326
4 0 3327
4 0 3328
4 0 3329
4 0 3330
4 0 3331
4 0 3332
4 0 3333
4 0 3334
4 0 3335
4 0 3336
4 0 3337
4 0 3338
4 0 3339
4 0 3340
4 0 3341
4 0 3342
4 0 3343
4 0 3344
4 0 3345
4 0 3346
4 0 3347
4 1 3317
4 1 3318
4 1 3319
4 1 3320
4 1 3321
4 1 3322
4 1 3323
4 1 3324
4 1 3325
4 1 3326
4 1 3327
4 1 3328
4 1 3329
4 1 3330
4 1 3331
4 1 3332
4 1 3333
4 1 3334
4 1 3335
4 1 3336
4 1 3337
4 1 3338
4 1 3339
